"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","20","742-SIR880BDP-T1-RE3CT-ND","SIR880BDP-T1-RE3","N-CHANNEL 80-V (D-S) MOSFET POWE","","20","0","1.17700","23.54"
"2","16","SS14-M3/5ATGICT-ND","SS14-M3/5AT","DIODE SCHOTTKY 40V 1A DO214AC","","16","0","0.08300","1.33"
"3","10","541-IHLP7575GZER8R2M51CT-ND","IHLP7575GZER8R2M51","FIXED IND 8.2UH 20.7A 0.00774OHM","","10","0","0.98700","9.87"
"4","10","311-1373-1-ND","CC0603KRX7R8BB473","CAP CER 0.047UF 25V X7R 0603","","10","0","0.03700","0.37"
"5","20","311-1591-1-ND","CC0201KRX5R5BB474","CAP CER 0.47UF 6.3V X5R 0201","","20","0","0.10500","2.10"
"6","10","311-1886-1-ND","CC0805KKX7R9BB105","CAP CER 1UF 50V X7R 0805","","10","0","0.13200","1.32"
"7","10","311-1873-1-ND","CC0805KKX5R9BB225","CAP CER 2.2UF 50V X5R 0805","","10","0","0.14600","1.46"
"8","20","10-EEU-FC1H390BCT-ND","EEU-FC1H390B","CAP ALUM 39UF 20% 50V RADIAL TH","","20","0","0.26800","5.36"
"9","25","13-RT1206FRE075KLCT-ND","RT1206FRE075KL","RES 5K OHM 1% 1/4W 1206","","25","0","0.02400","0.60"
"10","15","13-RT1206FRE0722KLCT-ND","RT1206FRE0722KL","RES SMD 22K OHM 1% 1/4W 1206","","15","0","0.03100","0.47"
"11","15","311-39.0KFRCT-ND","RC1206FR-0739KL","RES 39K OHM 1% 1/4W 1206","","15","0","0.01000","0.15"
"12","15","311-13.7KFRCT-ND","RC1206FR-0713K7L","RES 13.7K OHM 1% 1/4W 1206","","15","0","0.01200","0.18"
"13","15","311-187KFRCT-ND","RC1206FR-07187KL","RES 187K OHM 1% 1/4W 1206","","15","0","0.02000","0.30"
"14","25","13-RC2512FK-7W2RLCT-ND","RC2512FK-7W2RL","RES 2 OHM 1% 2W 2512","","25","0","0.26640","6.66"
"15","15","13-PA1206FRE7W0R002ZCT-ND","PA1206FRE7W0R002Z","RES 0.002 OHM 1% 1/2W 1206","","15","0","0.20300","3.05"
"16","15","YAG6026CT-ND","PE2010FKE7W0R005L","RES 0.005 OHM 1% 1W 2010","","15","0","0.46500","6.98"

